No,画面名,URL,カテゴリ,機能説明
1,ホーム画面,/,共通,システムのメイン画面。モバイルアプリ（Phase1/Phase2）とWeb管理画面（Phase1/Phase2）へのナビゲーションカードを表示。各フェーズの特徴と機能一覧を確認できる。
2,モバイルPhase1 - ホーム,/mobile/phase1,モバイル - Phase1（単身利用）,Phase1（単身利用）のモバイルアプリホーム画面。写真撮影、撮影リスト、報告書編集の3つの主要機能へのアクセスが可能。GPS連動・方位情報付き写真撮影機能を搭載。
3,モバイルPhase1 - カメラ画面,/mobile/phase1/camera,モバイル - Phase1（単身利用）,GPS情報・方位情報を自動記録するカメラ画面。撮影時にGPS座標（緯度・経度）と方位角度を自動取得し、写真に紐付けて保存する。十字線とビューファインダーで構図確認が可能。
4,モバイルPhase1 - 撮影リスト,/mobile/phase1/photos,モバイル - Phase1（単身利用）,撮影した写真の一覧表示画面。各写真にGPS座標、方位、撮影日時が表示される。サムネイル形式で写真を確認でき、タップで詳細表示が可能。
5,モバイルPhase1 - 報告書編集,/mobile/phase1/editor,モバイル - Phase1（単身利用）,撮影した写真を使って報告書を作成・編集する画面。写真の選択、コメント追加、報告書のタイトル・内容編集が可能。シンプルなテキストエディタでモバイル端末から簡単に報告書を作成できる。
6,モバイルPhase2 - ホーム,/mobile/phase2,モバイル - Phase2（チーム利用）,Phase2（チーム利用）のモバイルアプリホーム画面。Phase1の全機能に加えて、AR撮影ガイド、リアルタイム共同編集、共有チェックリストなどのチーム機能を搭載。各機能にPhaseバッジ（Phase1/Phase1+/Phase2）が付与され区別が明確。
7,モバイルPhase2 - AR撮影画面,/mobile/phase2/camera,モバイル - Phase2（チーム利用）,AR機能を搭載したカメラ画面。過去にチームメンバーが撮影した写真の位置をARマーカーで画面上に表示。撮影時刻とラベル情報も確認でき、同じ地点から異なる角度・時間帯での撮影を効率化。AR ON/OFFの切り替えが可能。
8,モバイルPhase2 - 報告書編集,/mobile/phase2/editor,モバイル - Phase2（チーム利用）,チームでの共同編集に対応した報告書編集画面。リアルタイムで他のメンバーの編集状況を確認しながら作業が可能。Phase1の機能に加えて、コメント機能やバージョン管理機能を搭載。
9,モバイルPhase2 - 共有チェックリスト,/mobile/phase2/checklist,モバイル - Phase2（チーム利用）,チーム全体で進捗を管理する共有チェックリスト画面。調査項目ごとのステータス（未完了/進行中/完了）を管理し、担当者や期限を設定可能。チームメンバー全員がリアルタイムで進捗状況を把握できる。
10,WebPhase1 - 報告書編集,/web/phase1,Web - Phase1（単身利用）,デスクトップ向けの報告書編集画面。広域図上に撮影した写真をGPS座標に基づいて自動配置。視線矢印の配置、写真の拡大縮小・回転、テキスト編集が可能。完成した報告書はPDF形式でエクスポート可能。
11,WebPhase2 - ホーム,/web/phase2,Web - Phase2（チーム利用）,Phase2 Web管理画面のホーム。報告書編集（AI自動生成機能付き）、承認フロー管理、ユーザー管理、権限管理の4つのメイン機能へのアクセスカードを表示。各カードには機能の説明と主要な特徴がリスト表示される。
12,WebPhase2 - 報告書編集（AI機能付き）,/web/phase2/editor,Web - Phase2（チーム利用）,AI自動生成機能を搭載した報告書編集画面。写真をアップロードするとAIが画像解析を行い、建物状態の自動判定、環境の自動分析、専門的な文章生成を実行。作業時間を約80%削減。Phase1の全機能に加えて、ツールバーにAI自動生成ボタンを配置。
13,WebPhase2 - 承認フロー管理,/web/phase2/approval,Web - Phase2（チーム利用）,報告書の承認プロセスを管理する画面。多段階承認フロー、コメント・差し戻し機能、ステータス管理（承認待ち/承認済み/差し戻し）を実装。各報告書の承認状況を一覧表示し、承認者は内容を確認して承認/差し戻しの判断が可能。
14,WebPhase2 - ユーザー管理,/web/phase2/users,Web - Phase2（チーム利用）,チームメンバーの管理画面。ユーザーの追加・編集・削除、ロール割り当て（管理者/マネージャー/編集者/閲覧者）、作成報告書数の確認が可能。リスト形式で各ユーザーの名前、メールアドレス、電話番号、ロールバッジ、報告書数を一覧表示。統計情報として総ユーザー数とロール別集計を表示。
15,WebPhase2 - 権限管理,/web/phase2/permissions,Web - Phase2（チーム利用）,ロールごとの詳細な権限設定を管理する画面。4つのロール（管理者/マネージャー/編集者/閲覧者）それぞれに対して、8つの権限項目（報告書作成/編集/削除、報告書承認、ユーザー管理、権限管理、AI機能利用、エクスポート）の許可/不許可を視覚的に表示。権限マトリクスで各ロールの権限範囲を一目で把握可能。
